index    U_ins  U_ierr   U_std  U_serr   B_ins  B_ierr   B_std  B_serr   V_ins  V_ierr   V_std  V_serr   I_ins  I_ierr   I_std  I_serr
   787 11.8620  0.0025 15.1608  0.0087 12.4014  0.0037 14.9620  0.0053 11.4362  0.0043 14.4607  0.0041 12.5112  0.0038 13.7541  0.0065
   804 12.1175  0.0029 15.4186  0.0108 12.7252  0.0038 15.2819  0.0069 11.5836  0.0032 14.6164  0.0045 12.5469  0.0039 13.7673  0.0064
   819 12.3880  0.0029 15.7150  0.0137 12.9167  0.0041 15.4671  0.0079 11.6858  0.0023 14.7479  0.0050 12.5596  0.0037 13.8204  0.0069
   838 12.5601  0.0036 15.9014  0.0159 12.8601  0.0040 15.4126  0.0076 11.6967  0.0029 14.7294  0.0049 12.5806  0.0047 13.8168  0.0069
   843 12.0940  0.0030 15.4266  0.0115 12.7707  0.0072 15.3339  0.0073 11.6472  0.0037 14.6739  0.0048 12.5860  0.0060 13.8280  0.0068
   863 12.3677  0.0031 15.7151  0.0135 12.9622  0.0043 15.5012  0.0083 11.7294  0.0069 14.7684  0.0050 12.6148  0.0042 13.8502  0.0069
   868 11.9474  0.0028 15.2631  0.0096 12.4935  0.0036 15.0417  0.0055 11.5070  0.0030 14.5331  0.0042 12.6246  0.0044 13.8587  0.0067
   881 12.4556  0.0036 15.7173  0.0143 13.0591  0.0044 15.5971  0.0088 11.8426  0.0038 14.8954  0.0054 12.6437  0.0061 13.8873  0.0069
   898 12.4659  0.0028 15.8058  0.0152 12.7539  0.0040 15.3072  0.0070 11.6553  0.0037 14.6906  0.0046 12.6632  0.0090 13.8536  0.0066
   903 12.0120  0.0021 15.3632  0.0105 12.3886  0.0037 14.9876  0.0055 11.4802  0.0023 14.5087  0.0042 12.6705  0.0033 13.9080  0.0073
   912 12.3855  0.0033 15.7290  0.0137 12.9220  0.0037 15.4863  0.0081 11.8067  0.0034 14.8309  0.0053 12.6854  0.0049 13.9565  0.0076
   952 12.1396  0.0081 15.2797  0.0104 12.7609  0.0047 15.3495  0.0077 11.7045  0.0127 14.7209  0.0055 12.7476  0.0157 13.9627  0.0082
   985 12.1296  0.0034 15.4163  0.0109 12.7304  0.0042 15.2385  0.0065 11.7197  0.0036 14.7356  0.0049 12.7799  0.0039 14.0142  0.0078
  1017 12.3637  0.0031 15.6828  0.0136 12.9409  0.0045 15.4977  0.0080 11.7947  0.0085 14.9888  0.0059 12.8160  0.0155 14.2375  0.0093
  1038 11.6534  0.0024 14.6056  0.0057 12.4588  0.0045 14.4177  0.0035 11.7643  0.0035 14.0087  0.0029 12.8320  0.0055 13.3780  0.0048
  1061 12.3438  0.0029 15.6400  0.0133 12.9878  0.0045 15.5161  0.0082 11.9170  0.0036 14.9430  0.0057 12.8582  0.0046 14.0926  0.0084
  1073 12.3072  0.0029 15.5867  0.0127 12.9868  0.0045 15.5369  0.0083 11.8678  0.0030 14.9141  0.0055 12.8678  0.0056 14.1099  0.0080
  1088 12.2859  0.0030 15.6208  0.0137 12.8584  0.0069 15.4424  0.0079 11.8538  0.0042 14.8861  0.0055 12.8918  0.0050 14.1094  0.0087
  1208 12.4270  0.0031 15.7549  0.0146 12.9616  0.0057 15.5246  0.0082 11.9356  0.0033 14.9702  0.0057 12.9847  0.0054 14.2516  0.0090
